taxonKey,kingdom,phylum,class,order,family,genus,species
3086334,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper glabrescens
3802204,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum rude-pannum
4190400,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper friedrichsthalii
5289938,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Digitaria,Digitaria insularis
2931303,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum allophyllum
5350585,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Rhynchosia,Rhynchosia minima
2930938,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum accrescens
2930275,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum nigrescens
2930678,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum rovirosanum
2932177,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum hazenii
6431411,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Echinochloa,Echinochloa colonum
2931405,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum campechiense
4267463,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea trifida
5570299,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus colubrinae
5350488,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus leptostachyus
2931480,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum nudum
3022514,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus brachybotrya
5289968,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Digitaria,Digitaria bicornis
2928590,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea carnea
2703459,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza sativa
5361923,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus aurea
5330972,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Xanthosoma,Xanthosoma wendlandii
5632734,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus dumosus
2703629,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum aquaticum
2932359,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum uncinellum
2754606,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea spiculiflora
3152203,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma simiarum
5534036,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex costaricensis
5534460,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex skutchii
2705068,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum trichoides
2705953,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Eleusine,Eleusine indica
4175764,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Persea,Persea caerulea
3152207,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma mammosum
7262403,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus cotinifolia
5350523,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus acutifolius
2929121,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum aturense
5571543,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus rensoniana
7305990,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper augustum
4143285,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum haenkeanum
5330948,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Xanthosoma,Xanthosoma mexicanum
5571280,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus yoponensis
5533594,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex lamprophylla
2932884,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum schlechtendalianum
2754860,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea convolvulacea
5569874,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus crassiuscula
2928583,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea leucantha
2705833,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Urochloa,Urochloa reptans
2872279,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium flexile
5357785,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga exalata
2972082,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Indigofera,Indigofera hirsuta
5339445,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Randia,Randia armata
5406764,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida glabra
3723012,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Parathesis,Parathesis cartagoana
2714772,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus ochraceus
2912395,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Declieuxia,Declieuxia fruticosa
3152264,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvastrum,Malvastrum americanum
3152597,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus striatus
5386547,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Wedelia,Wedelia fruticosa
2705462,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hackelochloa,Hackelochloa granularis
3152268,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvastrum,Malvastrum coromandelianum
4144717,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Isachne,Isachne arundinacea
5398391,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Mikania,Mikania tonduzii
2861262,Plantae,Tracheophyta,Liliopsida,Pandanales,Cyclanthaceae,Sphaeradenia,Sphaeradenia occidentalis
2942610,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,Crotalaria retusa
2713471,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus laxus
7692420,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida hirsutissima
5618913,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida cuspidata
2929617,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum chrysotrichum
2931223,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum lepidotum
5318276,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,Maxillaria bracteata
7417755,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Boehmeria,Boehmeria aspera
5670670,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Myriocarpa,Myriocarpa bifurca
5685770,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Pleurothyrium,Pleurothyrium guindonii
4140985,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Eragrostis,Eragrostis simpliciflora
5406735,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida rhombifolia
2705806,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Ixophorus,Ixophorus unisetus
2705848,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Urochloa,Urochloa mutica
2702805,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Echinochloa,Echinochloa pyramidalis
2717236,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis montana
5342444,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,Tephrosia nicaraguensis
3152514,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Herissantia,Herissantia crispa
3849104,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Psychotria,Psychotria sarapiquensis
5617180,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,Sida ulmifolia
5295279,Plantae,Tracheophyta,Liliopsida,Liliales,Smilacaceae,Smilax,Smilax domingensis
5288138,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Pitcairnia,Pitcairnia brittoniana
3054483,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton argenteus
3060205,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton morifolius
2872848,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium pittieri
2651590,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Ceratopteris,Ceratopteris pteridoides
2744102,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Cipura,Cipura paludosa
5832188,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Cavendishia,Cavendishia bracteata
3057381,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha apodanthes
7759207,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia poasana
4188881,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper bisasperatum
3073653,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Cnidoscolus,Cnidoscolus urens
3058942,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton hirtus
4172202,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Satyria,Satyria warszewiczii
3616346,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Tabernaemontana,Tabernaemontana longipes
4041890,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Ctenitis,Ctenitis hemsleyana
7305569,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper grande
4190447,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper lanceifolium
2872363,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium caperatum
2870905,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron wilburii
5314167,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Brassavola,Brassavola nodosa
3068937,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia hirta
2872315,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium testaceum
3721950,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Cybianthus,Cybianthus schlimii
2695335,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Werauhia,Werauhia insignis
5683348,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Cavendishia,Cavendishia capitulata
6385660,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Palhinhaea,Palhinhaea cernua
4189542,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper umbricola
3172439,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lentibulariaceae,Utricularia,Utricularia foliosa
4189676,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper corrugatum
3057588,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton niveus
5330922,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Xanthosoma,Xanthosoma helleborifolium
2873511,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium obtusilobum
5557210,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,Ardisia compressa
2872440,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium ramonense
2874188,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora sexflora
3155797,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Guatteria,Guatteria verrucosa
3056763,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha alopecuroides
3086468,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia hernandiifolia
8260537,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper urophyllum
9349506,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Gitara,Gitara nicaraguensis
5378336,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Bernardia,Bernardia nicaraguensis
2872761,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,Anthurium microspadix
2925655,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Duranta,Duranta erecta
3170241,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias curassavica
5415336,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Chrysothemis,Chrysothemis pulchella
2761715,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Calathea,Calathea crotalifera
2874621,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,Citrullus lanatus
5357158,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cassia,Cassia grandis
2925663,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cornutia,Cornutia pyramidata
3084014,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca rivinoides
5339879,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Morinda,Morinda citrifolia
5415456,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,Thunbergia grandiflora
2764680,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Murdannia,Murdannia nudiflora
5412457,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,Centropogon solanifolius
2898772,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Palicourea,Palicourea guianensis
3073016,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,Jatropha podagrica
2760940,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,Heliconia,Heliconia latispatha
8410331,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia aurea
2868390,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Caladium,Caladium bicolor
2759896,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Etlingera,Etlingera elatior
2874569,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis sativus
3773061,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Megaskepasma,Megaskepasma erythrochlamys
2956176,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Delonix,Delonix regia
5320796,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,Epidendrum ciliare
3152551,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus acetosella
2969284,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa pudica
3055012,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Caperonia,Caperonia palustris
2985082,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Chrysobalanus,Chrysobalanus icaco
5330776,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Colocasia,Colocasia esculenta
2902066,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Hamelia,Hamelia patens
2984466,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Laportea,Laportea aestuans
7974061,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Gloxinia,Gloxinia perennis
2888485,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Argemone,Argemone mexicana
5387974,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Youngia,Youngia japonica
2860119,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Hymenocallis,Hymenocallis littoralis
3152775,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvaviscus,Malvaviscus arboreus
2705924,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Axonopus,Axonopus compressus
5396551,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tithonia,Tithonia rotundifolia
3152559,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus rosa-sinensis
6403105,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum quitoense
3172881,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Episcia,Episcia cupreata
5320021,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,Epidendrum nocturnum
2958715,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinia,Caesalpinia pulcherrima
2949235,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,Aeschynomene americana
2777724,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,Aloe vera
2925462,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta mutabilis
5275404,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pteris,Pteris cretica
3172492,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Tecoma,Tecoma stans
2795522,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arundina,Arundina graminifolia
2920891,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Psychotria,Psychotria carthagenensis
3858649,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Monochaetum,Monochaetum floribundum
3066465,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pulcherrima
2981383,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cojoba,Cojoba arborea
3172203,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Linderniaceae,Torenia,Torenia fournieri
5341821,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Streptosolen,Streptosolen jamesonii
3073017,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,Jatropha integerrima
6365487,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Columnea,Columnea consanguinea
5302530,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Renealmia,Renealmia cernua
2895345,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica
2874211,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora foetida
3149462,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tridax,Tridax procumbens
3168943,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Hippobroma,Hippobroma longiflora
7328194,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Cavendishia,Cavendishia complectens
2928680,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Evolvulus,Evolvulus nummularius
5590525,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Drymonia,Drymonia rubra
2925649,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Tectona,Tectona grandis
3098951,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cosmos,Cosmos sulphureus
2927098,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Ocimum,Ocimum campechianum
9538544,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Goeppertia,Goeppertia marantifolia
11001304,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Macropsychanthus,Macropsychanthus malacocarpus
5336735,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Notopleura,Notopleura uliginosa
3169756,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Nerium,Nerium oleander
5335458,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Hoffmannia,Hoffmannia congesta
3169836,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,Allamanda cathartica
5303044,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,Thalia,Thalia geniculata
5589075,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Gloxinia,Gloxinia erinoides
5361828,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Pilea,Pilea nummulariifolia
3169830,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus
2756909,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,Costus,Costus barbatus
4186051,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper dotanum
3155625,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Guatteria,Guatteria amplifolia
3774973,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Poikilacanthus,Poikilacanthus macranthus
5407288,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona holosericea
9999141,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Callisia,Callisia serrulata
5301960,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia purpurata
5295116,Plantae,Tracheophyta,Liliopsida,Liliales,Smilacaceae,Smilax,Smilax officinalis
2870649,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron anisotomum
4023939,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Serpocaulon,Serpocaulon loriceum
3776524,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Aphelandra,Aphelandra tridentata
7273558,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Cassipourea,Cassipourea elliptica
6028871,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,Fuchsia jimenezii
4182861,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Beilschmiedia,Beilschmiedia tilaranensis
3619216,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Tabernaemontana,Tabernaemontana alfari
3169662,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Mandevilla,Mandevilla subsagittata
4080776,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Meniscium,Meniscium angustifolium
5407583,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Cananga,Cananga odorata
4156737,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,Begonia estrellensis
3852221,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia adolfi
3086500,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia emarginella
3672305,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Billia,Billia rosea
3158126,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Desmopsis,Desmopsis microcarpa
7989331,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lonchocarpus,Lonchocarpus felipei
